jday	date	hour	solrad	temp	precip	rh	co2
90	'03/31/1961'	19	0.0	15.0	1.5	100.0	400
90	'03/31/1961'	20	0.0	16.1	0.3	96.8	400
90	'03/31/1961'	21	0.0	16.7	0.3	93.11	400
90	'03/31/1961'	22	0.0	16.1	0.8	93.09	400
90	'03/31/1961'	23	0.0	16.7	3.6	96.19	400
91	'04/01/1961'	0	0.0	17.2	0.0	93.14	400
91	'04/01/1961'	1	0.0	17.2	0.0	93.14	400
91	'04/01/1961'	2	0.0	16.1	0.0	89.5	400
91	'04/01/1961'	3	0.0	14.4	0.0	89.98	400
91	'04/01/1961'	4	0.0	13.9	0.0	80.26	400
91	'04/01/1961'	5	0.0	13.3	0.0	71.41	400
91	'04/01/1961'	6	39.0	12.8	0.0	71.33	400
91	'04/01/1961'	7	166.0	12.2	0.0	74.23	400
91	'04/01/1961'	8	294.0	13.3	0.0	66.21	400
91	'04/01/1961'	9	345.0	13.9	0.0	56.94	400
91	'04/01/1961'	10	675.0	13.3	0.0	63.96	400
91	'04/01/1961'	11	718.0	13.9	0.0	58.96	400
91	'04/01/1961'	12	747.0	14.4	0.0	55.1	400
91	'04/01/1961'	13	855.0	15.6	0.0	48.85	400
91	'04/01/1961'	14	811.0	15.6	0.0	43.32	400
91	'04/01/1961'	15	655.0	17.2	0.0	42.22	400
91	'04/01/1961'	16	446.0	17.2	0.0	40.76	400
91	'04/01/1961'	17	220.0	16.7	0.0	40.34	400
91	'04/01/1961'	18	49.0	15.6	0.0	38.64	400
91	'04/01/1961'	19	0.0	13.9	0.0	48.42	400
91	'04/01/1961'	20	0.0	12.8	0.0	48.15	400
91	'04/01/1961'	21	0.0	11.7	0.0	51.81	400
91	'04/01/1961'	22	0.0	10.6	0.0	55.79	400
91	'04/01/1961'	23	0.0	10.0	0.0	58.09	400
92	'04/02/1961'	0	0.0	9.4	0.0	60.51	400
92	'04/02/1961'	1	0.0	8.3	0.0	62.93	400
92	'04/02/1961'	2	0.0	8.3	0.0	62.93	400
92	'04/02/1961'	3	0.0	8.3	0.0	62.93	400
92	'04/02/1961'	4	0.0	7.8	0.0	65.13	400
92	'04/02/1961'	5	0.0	7.2	0.0	65.0	400
92	'04/02/1961'	6	34.0	6.1	0.0	70.16	400
92	'04/02/1961'	7	187.0	5.6	0.0	75.85	400
92	'04/02/1961'	8	414.0	8.9	0.0	55.79	400
92	'04/02/1961'	9	628.0	11.7	0.0	46.17	400
92	'04/02/1961'	10	795.0	12.8	0.0	42.91	400
92	'04/02/1961'	11	901.0	14.4	0.0	38.61	400
92	'04/02/1961'	12	909.0	16.1	0.0	34.55	400
92	'04/02/1961'	13	797.0	17.2	0.0	33.37	400
92	'04/02/1961'	14	807.0	17.8	0.0	33.52	400
92	'04/02/1961'	15	520.0	19.4	0.0	33.94	400
92	'04/02/1961'	16	305.0	19.4	0.0	32.75	400
92	'04/02/1961'	17	192.0	20.6	0.0	31.46	400
92	'04/02/1961'	18	38.0	19.4	0.0	33.94	400
92	'04/02/1961'	19	0.0	17.8	0.0	39.21	400
92	'04/02/1961'	20	0.0	15.0	0.0	50.8	400
92	'04/02/1961'	21	0.0	12.2	0.0	63.73	400
92	'04/02/1961'	22	0.0	9.4	0.0	76.96	400
92	'04/02/1961'	23	0.0	8.3	0.0	85.9	400
93	'04/03/1961'	0	0.0	8.3	0.0	85.9	400
93	'04/03/1961'	1	0.0	8.9	0.0	82.45	400
93	'04/03/1961'	2	0.0	7.8	0.0	88.9	400
93	'04/03/1961'	3	0.0	7.2	0.0	89.48	400
93	'04/03/1961'	4	0.0	8.9	0.0	82.45	400
93	'04/03/1961'	5	0.0	11.1	0.0	74.06	400
93	'04/03/1961'	6	36.0	11.7	0.0	73.65	400
93	'04/03/1961'	7	100.0	12.8	0.0	68.44	400
93	'04/03/1961'	8	299.0	13.3	0.0	63.96	400
93	'04/03/1961'	9	370.0	15.6	0.0	55.0	400
93	'04/03/1961'	10	356.0	18.9	0.0	41.19	400
93	'04/03/1961'	11	368.0	20.0	0.0	38.42	400
93	'04/03/1961'	12	416.0	20.0	0.0	34.09	400
93	'04/03/1961'	13	246.0	20.6	0.0	38.3	400
93	'04/03/1961'	14	463.0	20.6	0.0	43.09	400
93	'04/03/1961'	15	272.0	20.0	0.0	54.15	400
93	'04/03/1961'	16	223.0	20.6	0.0	44.59	400
93	'04/03/1961'	17	80.0	19.4	0.0	54.01	400
93	'04/03/1961'	18	14.0	15.0	0.0	77.22	400
93	'04/03/1961'	19	0.0	13.9	0.3	83.0	400
93	'04/03/1961'	20	0.0	12.2	0.0	86.26	400
93	'04/03/1961'	21	0.0	11.1	0.3	89.14	400
93	'04/03/1961'	22	0.0	10.0	1.0	96.01	400
93	'04/03/1961'	23	0.0	10.0	0.0	92.8	400
94	'04/04/1961'	0	0.0	10.0	0.0	86.06	400
94	'04/04/1961'	1	0.0	9.4	0.0	83.08	400
94	'04/04/1961'	2	0.0	8.9	0.0	82.45	400
94	'04/04/1961'	3	0.0	7.8	0.0	78.92	400
94	'04/04/1961'	4	0.0	7.8	0.0	78.92	400
94	'04/04/1961'	5	0.0	6.7	0.0	82.2	400
94	'04/04/1961'	6	33.0	6.1	0.0	79.26	400
94	'04/04/1961'	7	141.0	5.6	0.0	82.07	400
94	'04/04/1961'	8	425.0	7.2	0.0	70.35	400
94	'04/04/1961'	9	637.0	8.9	0.0	60.4	400
94	'04/04/1961'	10	765.0	11.1	0.0	48.07	400
94	'04/04/1961'	11	695.0	12.2	0.0	40.92	400
94	'04/04/1961'	12	504.0	12.2	0.0	42.75	400
94	'04/04/1961'	13	341.0	13.3	0.0	35.09	400
94	'04/04/1961'	14	422.0	13.3	0.0	38.04	400
94	'04/04/1961'	15	524.0	15.0	0.0	34.02	400
94	'04/04/1961'	16	287.0	14.4	0.0	32.64	400
94	'04/04/1961'	17	205.0	15.0	0.0	32.79	400
94	'04/04/1961'	18	37.0	14.4	0.0	40.03	400
94	'04/04/1961'	19	0.0	13.3	0.0	39.74	400
94	'04/04/1961'	20	0.0	8.9	0.0	65.35	400
94	'04/04/1961'	21	0.0	8.3	0.0	68.08	400
94	'04/04/1961'	22	0.0	10.0	0.0	53.68	400
94	'04/04/1961'	23	0.0	8.9	0.0	53.41	400
95	'04/05/1961'	0	0.0	7.2	0.0	76.1	400
95	'04/05/1961'	1	0.0	5.0	0.0	82.0	400
95	'04/05/1961'	2	0.0	4.4	0.0	85.53	400
95	'04/05/1961'	3	0.0	3.9	0.0	85.48	400
95	'04/05/1961'	4	0.0	3.3	0.0	89.2	400
95	'04/05/1961'	5	0.0	2.2	0.0	92.4	400
95	'04/05/1961'	6	46.0	1.7	0.0	92.37	400
95	'04/05/1961'	7	220.0	3.3	0.0	85.42	400
95	'04/05/1961'	8	447.0	8.3	0.0	68.08	400
95	'04/05/1961'	9	651.0	12.2	0.0	52.31	400
95	'04/05/1961'	10	812.0	16.1	0.0	43.76	400
95	'04/05/1961'	11	914.0	18.9	0.0	36.55	400
95	'04/05/1961'	12	957.0	19.4	0.0	35.41	400
95	'04/05/1961'	13	921.0	20.6	0.0	28.06	400
95	'04/05/1961'	14	822.0	22.8	0.0	28.61	400
95	'04/05/1961'	15	662.0	23.3	0.0	27.74	400
95	'04/05/1961'	16	455.0	23.9	0.0	27.69	400
95	'04/05/1961'	17	204.0	23.9	0.0	30.13	400
95	'04/05/1961'	18	49.0	23.3	0.0	29.98	400
95	'04/05/1961'	19	0.0	21.7	0.0	37.27	400
95	'04/05/1961'	20	0.0	19.4	0.0	41.32	400
95	'04/05/1961'	21	0.0	18.3	0.0	46.2	400
95	'04/05/1961'	22	0.0	17.8	0.0	47.71	400
95	'04/05/1961'	23	0.0	17.2	0.0	49.58	400
96	'04/06/1961'	0	0.0	17.8	0.0	47.71	400
96	'04/06/1961'	1	0.0	18.3	0.0	51.59	400
96	'04/06/1961'	2	0.0	17.8	0.0	55.5	400
96	'04/06/1961'	3	0.0	17.2	0.0	59.68	400
